name,n_queries,recall@5,recall@10,recall@20,precision@5,precision@10,precision@20,ndcg@5,ndcg@10,ndcg@20,map,mrr,ndcg@10_ci_low,ndcg@10_ci_high,same_subject@10,coverage,diversity,novelty,fit_time_s,query_latency_ms,config
"sbert(all_minilm_l6_v2,idx=flat)",388,0.9924,1.0,1.0,0.2211,0.1129,0.0564,0.9089,0.9126,0.9126,0.8799,0.8825,0.8935,0.9292,0.2049,0.2174,0.6919,10.9323,2.079,0.333,"{'index_type': 'flat', 'model_name': 'all-MiniLM-L6-v2', 'batch_size': 64}"
"sbert(all_mpnet_base_v2,idx=flat)",388,0.9898,1.0,1.0,0.2206,0.1129,0.0564,0.9065,0.9111,0.9111,0.878,0.8805,0.891,0.9281,0.2201,0.2117,0.6995,10.8971,0.091,0.572,"{'index_type': 'flat', 'model_name': 'all-mpnet-base-v2', 'batch_size': 64}"
"rerank(cross_encoder_ms_marco_minilm_l_6_v2,base=sbert_all_minilm_l6_v2_idx_flat,n=50,mmr=1.0)",388,0.9924,1.0,1.0,0.2211,0.1129,0.0564,0.9009,0.9046,0.9046,0.8691,0.8717,0.8866,0.9217,0.2018,0.2137,0.7028,10.9152,0.154,71.843,"{'base': 'sbert(all_minilm_l6_v2,idx=flat)', 'cross_encoder': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_n': 50, 'mmr_lambda': 1.0}"
"tfidf(sw=on,ng=1-1,tw=1)",388,0.9739,0.9897,0.9923,0.217,0.1119,0.0561,0.8877,0.8945,0.8951,0.8588,0.8641,0.8711,0.9097,0.1863,0.2319,0.6903,11.0756,0.021,3.305,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 1}"
"bm25(sw=on,ng=1-1,tw=3,k1=1.5,b=0.75)",388,0.9688,0.9897,0.9923,0.216,0.1119,0.0561,0.8856,0.894,0.8947,0.8581,0.8655,0.8766,0.9133,0.1861,0.2292,0.7038,11.055,0.028,3.206,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 3, 'k1': 1.5, 'b': 0.75}"
"tfidf(sw=on,ng=1-2,tw=1)",388,0.973,0.9923,0.9948,0.2149,0.1121,0.0562,0.8843,0.8929,0.8935,0.8566,0.859,0.8737,0.9128,0.184,0.2249,0.6493,11.0036,0.048,34.666,"{'stopwords': True, 'ngram_max': 2, 'title_weight': 1}"
llm_tags(qwen3_8b),388,0.973,0.9897,0.9948,0.216,0.1119,0.0562,0.8835,0.8908,0.8921,0.855,0.8562,0.8708,0.9085,0.1771,0.2207,0.6905,10.9507,0.166,0.777,"{'model': 'qwen3:8b', 'stopwords': True, 'ngram_max': 1}"
"nmf(k=50,sw=on,ng=1-1,tw=1)",388,0.9723,0.9897,0.9897,0.216,0.1119,0.0559,0.8823,0.8898,0.8898,0.8534,0.8554,0.8666,0.9105,0.0972,0.2395,0.7984,11.1601,0.017,0.18,"{'n_topics': 50, 'stopwords': True, 'ngram_max': 1, 'title_weight': 1, 'max_iter': 400}"
"tfidf(sw=on,ng=1-1,tw=3)",388,0.9784,0.9897,0.9923,0.2186,0.1119,0.0561,0.8821,0.887,0.8877,0.8494,0.8523,0.8663,0.9036,0.1866,0.2305,0.6932,11.052,0.026,3.305,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 3}"
"lda(k=50,sw=on,ng=1-1,tw=1)",388,0.9706,0.9897,0.9923,0.2149,0.1119,0.0561,0.8775,0.8858,0.8864,0.8473,0.8508,0.8625,0.9064,0.0778,0.2185,0.8078,10.892,0.017,0.176,"{'n_topics': 50, 'stopwords': True, 'ngram_max': 1, 'title_weight': 1, 'max_iter': 20}"
"rerank(cross_encoder_ms_marco_minilm_l_6_v2,base=sbert_all_minilm_l6_v2_idx_flat,n=50,mmr=0.5)",388,0.9599,1.0,1.0,0.2119,0.1129,0.0564,0.8682,0.8839,0.8839,0.8407,0.8504,0.8609,0.9022,0.1791,0.2237,0.7943,10.9784,0.187,71.012,"{'base': 'sbert(all_minilm_l6_v2,idx=flat)', 'cross_encoder': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_n': 50, 'mmr_lambda': 0.5}"
