name,n_queries,recall@5,recall@10,recall@20,precision@5,precision@10,precision@20,ndcg@5,ndcg@10,ndcg@20,map,mrr,ndcg@10_ci_low,ndcg@10_ci_high,coverage,diversity,novelty,fit_time_s,query_latency_ms,config
"sbert(all_minilm_l6_v2,idx=flat)",22,0.47,0.6806,0.793,0.5182,0.3727,0.225,0.5586,0.6169,0.6713,0.5402,0.6621,0.4978,0.7261,0.0374,0.699,8.658,8.97,7.766,"{'index_type': 'flat', 'model_name': 'all-MiniLM-L6-v2', 'batch_size': 64}"
"tfidf(sw=on,ng=1-1,tw=3)",22,0.4688,0.7362,0.8484,0.4727,0.3955,0.2341,0.4975,0.6112,0.6632,0.5234,0.5833,0.4972,0.7252,0.0364,0.6566,8.6124,0.02,0.604,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 3}"
"sbert(all_mpnet_base_v2,idx=flat)",22,0.4409,0.6351,0.7846,0.4818,0.3682,0.225,0.5479,0.6054,0.6715,0.5386,0.7091,0.4695,0.7319,0.0372,0.7045,8.6541,173.587,16.698,"{'index_type': 'flat', 'model_name': 'all-mpnet-base-v2', 'batch_size': 64}"
"bm25(sw=on,ng=1-1,tw=3,k1=1.5,b=0.75)",22,0.4423,0.6863,0.8698,0.4364,0.3636,0.2409,0.4743,0.584,0.6698,0.5226,0.5781,0.465,0.7051,0.036,0.6813,8.5928,0.02,0.532,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 3, 'k1': 1.5, 'b': 0.75}"
"tfidf(sw=on,ng=1-2,tw=1)",22,0.4373,0.681,0.8624,0.4273,0.3591,0.2409,0.4712,0.5762,0.663,0.504,0.6121,0.4616,0.6913,0.0358,0.635,8.5808,0.038,0.999,"{'stopwords': True, 'ngram_max': 2, 'title_weight': 1}"
"bm25(sw=on,ng=1-1,tw=1,k1=1.5,b=0.75)",22,0.434,0.6448,0.8341,0.4364,0.3409,0.2273,0.4625,0.5463,0.6317,0.4678,0.5754,0.4291,0.6726,0.0358,0.6517,8.5791,0.019,0.538,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 1, 'k1': 1.5, 'b': 0.75}"
"tfidf(sw=on,ng=1-1,tw=1)",22,0.3893,0.6054,0.7809,0.3818,0.3227,0.2136,0.4003,0.4973,0.5769,0.4093,0.5137,0.3852,0.6168,0.0359,0.6399,8.5854,0.018,0.608,"{'stopwords': True, 'ngram_max': 1, 'title_weight': 1}"
"lsa(k=200,sw=on,ng=1-1,tw=1)",22,0.2254,0.4129,0.574,0.2182,0.2182,0.1591,0.2291,0.3205,0.394,0.2343,0.3894,0.2257,0.4158,0.0359,0.6183,8.5613,0.016,1.796,"{'n_topics': 200, 'stopwords': True, 'ngram_max': 1, 'title_weight': 1}"
"lda(k=50,sw=on,ng=1-1,tw=1)",22,0.0254,0.092,0.1553,0.0273,0.05,0.0409,0.042,0.0744,0.1009,0.0408,0.1528,0.0323,0.1213,0.0312,0.7942,8.3181,0.012,0.347,"{'n_topics': 50, 'stopwords': True, 'ngram_max': 1, 'title_weight': 1, 'max_iter': 20}"
"nmf(k=50,sw=on,ng=1-1,tw=1)",22,0.0671,0.0671,0.1169,0.0636,0.0318,0.0273,0.073,0.0684,0.0876,0.0422,0.1445,0.0166,0.1314,0.0334,0.8,8.4409,0.011,1.43,"{'n_topics': 50, 'stopwords': True, 'ngram_max': 1, 'title_weight': 1, 'max_iter': 400}"
